56
4->81,688;277,710;190,888;0,850;
4->186,703;360,714;278,906;98,872;
4->268,708;464,721;393,920;179,890;
4->362,716;582,723;521,934;279,908;
4->465,723;711,723;665,946;395,924;
4->586,723;844,729;819,953;525,938;
4->713,728;983,728;989,958;667,948;
4->847,729;1123,724;1150,949;830,962;
4->986,726;1264,724;1308,945;992,956;
4->1132,728;1392,719;1453,932;1155,955;
4->1270,727;1506,710;1583,910;1311,944;
4->1393,720;1613,707;1695,895;1455,929;
4->1510,716;1710,705;1797,875;1583,913;
4->1616,715;1792,690;1882,861;1698,891;
4->1708,707;1874,677;1958,838;1796,879;
4->408,404;620,406;562,530;330,523;
4->525,408;695,402;649,522;455,532;
4->607,405;791,399;761,523;549,528;
4->697,401;889,396;868,522;656,528;
4->792,399;986,393;986,524;758,524;
4->890,393;1082,398;1101,523;873,525;
4->984,397;1184,394;1213,524;989,524;
4->1088,394;1276,397;1324,520;1102,526;
4->1182,395;1368,401;1421,522;1219,522;
4->1278,399;1454,404;1524,525;1320,520;
4->1366,399;1534,404;1608,520;1428,526;
4->1452,402;1608,408;1681,516;1521,526;
4->1534,409;1680,409;1766,521;1602,521;
4->470,314;664,312;620,406;406,403;
4->580,319;732,305;692,398;526,408;
4->656,313;814,302;788,398;608,404;
4->736,306;898,304;888,396;694,398;
4->819,305;983,305;986,394;792,397;
4->902,306;1070,301;1082,395;890,395;
4->987,305;1159,302;1184,395;982,395;
4->1077,305;1237,305;1272,397;1088,397;
4->1157,308;1319,308;1365,398;1181,396;
4->1242,310;1396,313;1451,400;1277,397;
4->1326,314;1466,312;1529,401;1367,399;
4->1398,314;1540,321;1603,407;1453,401;
4->1476,323;1604,319;1677,407;1531,407;
4->481,182;619,168;569,240;423,242;
4->559,174;665,165;626,234;504,244;
4->611,169;727,163;695,230;565,239;
4->666,166;794,162;765,225;629,235;
4->731,165;853,155;838,225;696,231;
4->793,159;919,153;910,217;768,231;
4->857,156;981,156;987,220;837,222;
4->917,156;1055,154;1058,221;914,221;
4->991,154;1113,156;1132,220;988,222;
4->1054,156;1176,156;1205,224;1061,224;
4->1116,154;1244,160;1279,228;1135,223;
4->1181,157;1303,163;1343,231;1211,226;
4->1244,160;1366,166;1409,235;1277,229;
4->1305,163;1429,173;1471,237;1347,235;
4->1371,171;1481,178;1539,243;1407,237;
